Freq,X,Y,Z
933.61,0.013,0.047,0.013
936.85,0.017,0.059,0.018
940.09,0.013,0.042,0.013
943.33,0.011,0.036,0.012
946.58,0.013,0.043,0.014
949.82,0.015,0.047,0.015
953.06,0.014,0.047,0.015
956.3,0.014,0.042,0.014
959.54,0.014,0.048,0.014
962.78,0.017,0.057,0.017
966.03,0.019,0.06,0.018
969.27,0.022,0.071,0.021
972.51,0.019,0.065,0.018
975.75,0.016,0.05,0.015
978.99,0.018,0.057,0.017
982.23,0.019,0.06,0.018
985.48,0.014,0.043,0.014
988.72,0.014,0.038,0.013
991.96,0.015,0.044,0.015
995.2,0.017,0.052,0.017
998.44,0.016,0.048,0.017
1001.69,0.013,0.037,0.016
1004.93,0.013,0.033,0.017
1008.17,0.01,0.026,0.014
1011.41,0.01,0.021,0.014
1014.65,0.009,0.02,0.013
1017.89,0.007,0.017,0.011
1021.14,0.006,0.015,0.009
1024.38,0.009,0.016,0.011
1027.62,0.008,0.014,0.01
1030.86,0.005,0.012,0.007
1034.1,0.005,0.013,0.008
1037.34,0.006,0.018,0.016
1040.59,0.012,0.034,0.033
1043.83,0.014,0.036,0.04
1047.07,0.013,0.027,0.039
1050.31,0.015,0.027,0.046
1053.55,0.014,0.025,0.044
1056.79,0.013,0.024,0.042
1060.04,0.018,0.033,0.056
1063.28,0.017,0.031,0.051
1066.52,0.012,0.023,0.033
1069.76,0.015,0.035,0.041
1073,0.012,0.029,0.031
1076.24,0.005,0.013,0.011
1079.49,0.004,0.01,0.006
1082.73,0.004,0.008,0.005
1085.97,0.004,0.009,0.005
1089.21,0.003,0.008,0.004
1092.45,0.003,0.007,0.004
1095.69,0.003,0.006,0.004
1098.94,0.002,0.006,0.004
1102.18,0.003,0.004,0.003
1105.42,0.003,0.003,0.003
1108.66,0.002,0.004,0.003
1111.9,0.002,0.004,0.003
1115.14,0.002,0.004,0.004
1118.39,0.002,0.004,0.003
1121.63,0.002,0.003,0.003
1124.87,0.002,0.004,0.003
1128.11,0.002,0.004,0.003
1131.35,0.003,0.004,0.003
1134.59,0.002,0.004,0.003
1137.84,0.002,0.003,0.003
1141.08,0.002,0.004,0.003
1144.32,0.002,0.004,0.004
1147.56,0.002,0.004,0.004
1150.8,0.002,0.005,0.004
1154.04,0.002,0.007,0.004
1157.29,0.002,0.007,0.004
1160.53,0.002,0.007,0.003
1163.77,0.002,0.008,0.003
1167.01,0.002,0.01,0.003
1170.25,0.003,0.011,0.003
1173.5,0.003,0.01,0.003
1176.74,0.003,0.011,0.004
1179.98,0.003,0.011,0.004
1183.22,0.003,0.01,0.004
1186.46,0.002,0.01,0.004
1189.7,0.003,0.011,0.005
1192.95,0.003,0.012,0.006
1196.19,0.005,0.013,0.018
1199.43,0.008,0.013,0.027
1202.67,0.004,0.01,0.012
1205.91,0.003,0.01,0.007
1209.15,0.003,0.009,0.007
1212.4,0.003,0.008,0.007
1215.64,0.003,0.007,0.006
1218.88,0.004,0.007,0.005
1222.12,0.004,0.005,0.006
1225.36,0.004,0.005,0.005
1228.6,0.004,0.006,0.006
1231.85,0.005,0.006,0.008
1235.09,0.006,0.007,0.013
1238.33,0.006,0.008,0.016
1241.57,0.005,0.008,0.014
1244.81,0.005,0.008,0.015
1248.05,0.005,0.008,0.015
1251.3,0.005,0.009,0.012
1254.54,0.005,0.01,0.011
1257.78,0.004,0.012,0.009
1261.02,0.004,0.011,0.008
1264.26,0.004,0.013,0.007
1267.5,0.005,0.015,0.007
1270.75,0.004,0.016,0.005
1273.99,0.004,0.015,0.004
1277.23,0.004,0.016,0.004
1280.47,0.005,0.016,0.005
1283.71,0.005,0.014,0.005
1286.95,0.004,0.014,0.006
1290.2,0.004,0.014,0.006
1293.44,0.003,0.016,0.005
1296.68,0.004,0.015,0.006
1299.92,0.003,0.013,0.006
1303.16,0.003,0.013,0.005
1306.4,0.003,0.012,0.005
1309.65,0.003,0.011,0.006
1312.89,0.004,0.009,0.006
1316.13,0.003,0.008,0.007
1319.37,0.004,0.007,0.006
1322.61,0.004,0.007,0.006
1325.85,0.003,0.007,0.005
1329.1,0.004,0.007,0.004
1332.34,0.004,0.009,0.004
1335.58,0.003,0.009,0.004
1338.82,0.004,0.01,0.004
1342.06,0.004,0.01,0.004
1345.31,0.005,0.011,0.004
1348.55,0.005,0.009,0.004
1351.79,0.004,0.008,0.005
1355.03,0.005,0.008,0.007
1358.27,0.005,0.007,0.007
1361.51,0.004,0.006,0.006
1364.76,0.003,0.006,0.006
1368,0.003,0.005,0.006
1371.24,0.002,0.005,0.005
1374.48,0.002,0.005,0.003
1377.72,0.002,0.004,0.004
1380.96,0.002,0.005,0.004
1384.21,0.002,0.005,0.004
1387.45,0.002,0.005,0.004
1390.69,0.002,0.005,0.003
1393.93,0.002,0.006,0.004
1397.17,0.002,0.006,0.005
1400.41,0.002,0.006,0.005
1403.66,0.002,0.006,0.005
1406.9,0.002,0.009,0.005
1410.14,0.002,0.009,0.005
1413.38,0.002,0.009,0.005
1416.62,0.002,0.009,0.005
1419.86,0.002,0.012,0.005
1423.11,0.002,0.012,0.006
1426.35,0.002,0.01,0.006
1429.59,0.002,0.01,0.006
1432.83,0.002,0.011,0.006
1436.07,0.002,0.01,0.005
1439.31,0.002,0.01,0.005
1442.56,0.002,0.012,0.005
1445.8,0.002,0.013,0.004
1449.04,0.002,0.013,0.003
1452.28,0.002,0.014,0.004
1455.52,0.002,0.015,0.004
1458.76,0.002,0.011,0.004
1462.01,0.002,0.01,0.003
1465.25,0.002,0.011,0.003
1468.49,0.002,0.01,0.003
1471.73,0.002,0.011,0.004
1474.97,0.002,0.011,0.003
1478.21,0.002,0.012,0.004
1481.46,0.002,0.01,0.003
1484.7,0.002,0.009,0.003
1487.94,0.001,0.011,0.003
1491.18,0.001,0.011,0.003
1494.42,0.002,0.011,0.003
1497.67,0.002,0.017,0.005
1500.91,0.002,0.014,0.004
1504.15,0.002,0.01,0.002
1507.39,0.002,0.01,0.002
1510.63,0.002,0.011,0.003
1513.87,0.002,0.011,0.003
1517.12,0.002,0.014,0.002
1520.36,0.002,0.013,0.002
1523.6,0.002,0.014,0.002
1526.84,0.002,0.013,0.002
1530.08,0.002,0.014,0.002
1533.32,0.002,0.013,0.002
1536.57,0.002,0.012,0.002
1539.81,0.003,0.014,0.002
1543.05,0.003,0.017,0.003
1546.29,0.003,0.017,0.002
1549.53,0.002,0.015,0.003
1552.77,0.002,0.018,0.003
1556.02,0.003,0.025,0.003
1559.26,0.004,0.029,0.003
1562.5,0.003,0.027,0.003
1565.74,0.003,0.028,0.002
1568.98,0.003,0.029,0.003
1572.22,0.003,0.03,0.003
1575.47,0.003,0.023,0.003
1578.71,0.003,0.023,0.003
1581.95,0.002,0.027,0.003
1585.19,0.003,0.027,0.003
1588.43,0.002,0.024,0.003
1591.67,0.002,0.021,0.003
1594.92,0.002,0.018,0.003
1598.16,0.002,0.021,0.003
1601.4,0.002,0.022,0.003
1604.64,0.002,0.025,0.003
1607.88,0.002,0.022,0.003
1611.12,0.002,0.018,0.002
1614.37,0.002,0.018,0.002
1617.61,0.002,0.021,0.003
1620.85,0.002,0.024,0.002
1624.09,0.002,0.02,0.003
1627.33,0.001,0.018,0.003
1630.57,0.002,0.018,0.003
1633.82,0.001,0.02,0.003
1637.06,0.002,0.018,0.003
1640.3,0.002,0.019,0.003
1643.54,0.002,0.022,0.003
1646.78,0.002,0.022,0.004
1650.02,0.002,0.022,0.004
1653.27,0.003,0.02,0.004
1656.51,0.002,0.022,0.004
1659.75,0.003,0.021,0.004
1662.99,0.003,0.021,0.005
1666.23,0.003,0.018,0.005
1669.48,0.003,0.015,0.004
1672.72,0.003,0.016,0.005
1675.96,0.004,0.018,0.006
1679.2,0.004,0.016,0.006
1682.44,0.003,0.017,0.005
1685.68,0.004,0.02,0.005
1688.93,0.003,0.016,0.005
1692.17,0.003,0.014,0.004
1695.41,0.003,0.014,0.004
1698.65,0.003,0.014,0.004
1701.89,0.003,0.012,0.004
